四川成都电信,#genre#
CCTV-1高清,http://192.168.3.1:8188/rtp/239.94.0.31:5140?FCC=182.139.234.40:8027
CCTV-2高清,http://192.168.3.1:8188/rtp/239.94.0.2:5140?FCC=182.139.234.40:8027
CCTV-3高清,http://192.168.3.1:8188/rtp/239.94.0.32:5140?FCC=182.139.234.40:8027
CCTV-4高清,http://192.168.3.1:8188/rtp/239.94.0.4:5140?FCC=182.139.234.40:8027
CCTV-5高清,http://192.168.3.1:8188/rtp/239.94.0.33:5140?FCC=182.139.234.40:8027
CCTV-6高清,http://192.168.3.1:8188/rtp/239.94.0.34:5140?FCC=182.139.234.40:8027
CCTV-7高清,http://192.168.3.1:8188/rtp/239.94.0.7:5140?FCC=182.139.234.40:8027
CCTV-8高清,http://192.168.3.1:8188/rtp/239.94.0.35:5140?FCC=182.139.234.40:8027
CCTV-9高清,http://192.168.3.1:8188/rtp/239.94.0.9:5140?FCC=182.139.234.40:8027
CCTV-10高清,http://192.168.3.1:8188/rtp/239.94.0.10:5140?FCC=182.139.234.40:8027
CCTV-11高清,http://192.168.3.1:8188/rtp/239.94.0.36:5140?FCC=182.139.234.40:8027
CCTV-12高清,http://192.168.3.1:8188/rtp/239.94.0.12:5140?FCC=182.139.234.40:8027
CCTV-13高清,http://192.168.3.1:8188/rtp/239.94.0.37:5140?FCC=182.139.234.40:8027
CCTV-少儿高清,http://192.168.3.1:8188/rtp/239.94.0.14:5140?FCC=182.139.234.40:8027
CCTV-15高清,http://192.168.3.1:8188/rtp/239.94.0.38:5140?FCC=182.139.234.40:8027
CCTV-17高清,http://192.168.3.1:8188/rtp/239.94.0.39:5140?FCC=182.139.234.40:8027
CDTV-1高清,http://192.168.3.1:8188/rtp/239.94.0.154:5140?FCC=182.139.234.40:8027
CCTV-4K,http://192.168.3.1:8188/rtp/239.94.0.20:5140?FCC=182.139.234.40:8027
爱上4K专区,http://192.168.3.1:8188/rtp/239.94.0.21:5140?FCC=182.139.234.40:8027
CGTN英语,http://192.168.3.1:8188/rtp/239.94.0.40:5140?FCC=182.139.234.40:8027
CCTV-5＋高清,http://192.168.3.1:8188/rtp/239.94.0.23:5140?FCC=182.139.234.40:8027
精彩导视,http://192.168.3.1:8188/rtp/239.94.1.63:5140?FCC=182.139.234.40:8027
四川卫视4K,http://192.168.3.1:8188/rtp/239.94.0.115:5140?FCC=182.139.234.40:8027
